,epoch,adjusted rand score
0,0.0,0.06530209452912576
0,5.0,0.13685514587474612
0,10.0,0.1069307285417815
0,15.0,0.17841570433527962
0,20.0,0.18544529108075422
0,25.0,0.1794201880081392
0,30.0,0.1984025216799962
0,35.0,0.12855634486714126
0,40.0,0.23442077551227905
0,45.0,0.17822561847985602
0,50.0,0.18385364853343839
0,55.0,0.18102575960653933
0,60.0,0.17173756765655873
0,65.0,0.21866683705754475
0,70.0,0.2600362416466623
0,75.0,0.18941734388729706
0,80.0,0.29317310163050775
0,85.0,0.2524555958816259
0,90.0,0.340842596290816
0,95.0,0.24839633631012087
0,100.0,0.26306822029445026
