,epoch,adjusted rand score
0,0.0,0.049923266911319826
0,5.0,0.1739475119341769
0,10.0,0.1747696419163661
0,15.0,0.18885588855813962
0,20.0,0.140966123823155
0,25.0,0.1748529410927155
0,30.0,0.19494612250580048
0,35.0,0.16084468786621942
0,40.0,0.15755520003376305
0,45.0,0.19576022085677003
0,50.0,0.2323207905071572
0,55.0,0.2605225302474819
0,60.0,0.1933993732925251
0,65.0,0.2252594060919277
0,70.0,0.2841826385464211
0,75.0,0.27008076304854656
0,80.0,0.2824986293732735
0,85.0,0.25111959356924696
0,90.0,0.27104955649897305
0,95.0,0.18177455852272908
0,100.0,0.22912753143857859
