,epoch,adjusted rand score
0,0.0,0.040113726075434744
0,5.0,0.16237930982423396
0,10.0,0.13896331603497927
0,15.0,0.1433971027203946
0,20.0,0.22472308198884555
0,25.0,0.18461111632143395
0,30.0,0.17360378659906742
0,35.0,0.1066408130065596
0,40.0,0.17525272770613345
0,45.0,0.15384312852288262
0,50.0,0.15415609046654963
0,55.0,0.22255208215398478
0,60.0,0.23985645765643424
0,65.0,0.19511322995702293
0,70.0,0.2091197061205742
0,75.0,0.21594799615842367
0,80.0,0.23414943514155864
0,85.0,0.2432066658445987
0,90.0,0.20446497209002087
0,95.0,0.20093854391952118
0,100.0,0.24744839231520277
